scheme_name,category,beneficiary_type,max_land_acres,benefits_summary,portal_url,eligible_states
PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Direct Benefit Transfer,All Farmers,100,"Direct income support of ₹6,000 per year in three equal installments of ₹2,000.",https://pmkisan.gov.in,All States
Pradhan Mantri Fasal Bima Yojana (PMFBY),Crop Insurance,Tenant & Landowner Farmers,50,Comprehensive crop insurance cover against yield losses due to non-preventable natural risks.,https://pmfby.gov.in,All States
Kisan Credit Card (KCC) Scheme,Credit & Subsidy,Small & Marginal Farmers,100,Concessional institutional credit at 4% effective interest rate with prompt repayment incentive.,https://myscheme.gov.in/schemes/kcc,All States
Paramparagat Krishi Vikas Yojana (PKVY),Organic Farming,Organic Farmer Clusters,20,"Financial assistance of ₹50,000 per hectare for organic inputs, certification, and marketing.",https://dacfms.nic.in,All States
Sub-Mission on Agricultural Mechanization (SMAM),Equipment Subsidy,Individual & Custom Hiring Centers,100,"40% to 80% subsidy on purchase of tractors, rotavators, harvesters, and drones.",https://agrimachinery.nic.in,All States
Soil Health Card Scheme,Soil Testing & Advisory,All Farmers,100,Free soil nutrient status analysis and customized fertilizer recommendations every 2 years.,https://soilhealth.dac.gov.in,All States
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),Micro Irrigation,All Farmers,100,Up to 55% subsidy on drip and sprinkler irrigation installations for water conservation.,https://pmksy.gov.in,All States
National Horticulture Mission (NHM),Horticulture Development,Fruit & Vegetable Growers,25,"Subsidy for orchard establishment, greenhouse polyhouses, and cold storage units.",https://midh.gov.in,All States
Mission Organic Value Chain Development for NE Region,Organic Farming,NE Region Farmers,50,End-to-end support for organic value chain creation in North Eastern states.,https://movcd.dac.gov.in,"Assam, Meghalaya, Sikkim, Nagaland, Manipur, Mizoram, Tripura, Arunachal Pradesh"
Agri Infrastructure Fund (AIF),Infrastructure Credit,Agri-Entrepreneurs & FPOs,100,3% interest subvention on loans up to ₹2 Crore for post-harvest management infrastructure.,https://agriinfra.dac.gov.in,All States
RKVY-RAFTAAR,Agri-Business Incubation,Startups & Agri Innovators,100,Grant-in-aid up to ₹25 Lakhs for agri-startups and innovative farming technologies.,https://rkvy.nic.in,All States
PM-KUSUM Solar Pump Scheme,Solar Energy,Individual Farmers & Water User Associations,10,Up to 60% subsidy for setting up standalone solar agriculture pumps.,https://pmkusum.mnre.gov.in,All States
PM-KISAN (Pradhan Mantri Kisan Samman Nidhi) Phase 2,Direct Benefit Transfer,All Farmers,100,"Direct income support of ₹6,000 per year in three equal installments of ₹2,000.",https://pmkisan.gov.in,All States
Pradhan Mantri Fasal Bima Yojana (PMFBY) Phase 2,Crop Insurance,Tenant & Landowner Farmers,50,Comprehensive crop insurance cover against yield losses due to non-preventable natural risks.,https://pmfby.gov.in,All States
Kisan Credit Card (KCC) Scheme Phase 2,Credit & Subsidy,Small & Marginal Farmers,100,Concessional institutional credit at 4% effective interest rate with prompt repayment incentive.,https://myscheme.gov.in/schemes/kcc,All States
