crop,growth_stage,advisory_text,recommended_practice,institute
Rice,Tillering Stage,Maintain 2-5cm standing water in rice fields. Monitor for Stem Borer infestation.,Apply Cartap Hydrochloride 4G @ 10kg/acre if dead hearts exceed 5%.,ICAR-CRRI Cuttack
Cotton,Boll Formation,Avoid nitrogenous fertilizer excess. Monitor for pink bollworm larval entry.,Install Pheromone traps @ 5 traps/acre for adult monitoring.,ICAR-CICR Nagpur
Wheat,CRI Stage,First irrigation at Crown Root Initiation (20-25 days after sowing) is crucial.,Apply top dressing of Urea (45kg/acre) after first irrigation.,ICAR-IIWBR Karnal
Maize,Knee-High Stage,Watch out for Fall Armyworm (FAW) whorl damage.,Whorl application of Neem cake or Emamectin Benzoate 5% SG @ 0.4g/L.,ICAR-IIMR Ludhiana
Potato,Tuberization,High relative humidity (>85%) and temperature between 10-20°C favors Late Blight.,Prophylactic spray of Mancozeb 75 WP @ 2g/L.,ICAR-CPRI Shimla
Tomato,Flowering & Fruiting,Stake tomato vines to prevent soil-borne fungal pathogens.,Foliar spray of 1% Potassium Nitrate to boost fruit setting.,ICAR-IIHR Bengaluru
Rice,Tillering Stage,Maintain 2-5cm standing water in rice fields. Monitor for Stem Borer infestation.,Apply Cartap Hydrochloride 4G @ 10kg/acre if dead hearts exceed 5%.,ICAR-CRRI Cuttack
Cotton,Boll Formation,Avoid nitrogenous fertilizer excess. Monitor for pink bollworm larval entry.,Install Pheromone traps @ 5 traps/acre for adult monitoring.,ICAR-CICR Nagpur
Wheat,CRI Stage,First irrigation at Crown Root Initiation (20-25 days after sowing) is crucial.,Apply top dressing of Urea (45kg/acre) after first irrigation.,ICAR-IIWBR Karnal
Maize,Knee-High Stage,Watch out for Fall Armyworm (FAW) whorl damage.,Whorl application of Neem cake or Emamectin Benzoate 5% SG @ 0.4g/L.,ICAR-IIMR Ludhiana
Potato,Tuberization,High relative humidity (>85%) and temperature between 10-20°C favors Late Blight.,Prophylactic spray of Mancozeb 75 WP @ 2g/L.,ICAR-CPRI Shimla
Tomato,Flowering & Fruiting,Stake tomato vines to prevent soil-borne fungal pathogens.,Foliar spray of 1% Potassium Nitrate to boost fruit setting.,ICAR-IIHR Bengaluru
Rice,Tillering Stage,Maintain 2-5cm standing water in rice fields. Monitor for Stem Borer infestation.,Apply Cartap Hydrochloride 4G @ 10kg/acre if dead hearts exceed 5%.,ICAR-CRRI Cuttack
Cotton,Boll Formation,Avoid nitrogenous fertilizer excess. Monitor for pink bollworm larval entry.,Install Pheromone traps @ 5 traps/acre for adult monitoring.,ICAR-CICR Nagpur
Wheat,CRI Stage,First irrigation at Crown Root Initiation (20-25 days after sowing) is crucial.,Apply top dressing of Urea (45kg/acre) after first irrigation.,ICAR-IIWBR Karnal
Maize,Knee-High Stage,Watch out for Fall Armyworm (FAW) whorl damage.,Whorl application of Neem cake or Emamectin Benzoate 5% SG @ 0.4g/L.,ICAR-IIMR Ludhiana
Potato,Tuberization,High relative humidity (>85%) and temperature between 10-20°C favors Late Blight.,Prophylactic spray of Mancozeb 75 WP @ 2g/L.,ICAR-CPRI Shimla
Tomato,Flowering & Fruiting,Stake tomato vines to prevent soil-borne fungal pathogens.,Foliar spray of 1% Potassium Nitrate to boost fruit setting.,ICAR-IIHR Bengaluru
Rice,Tillering Stage,Maintain 2-5cm standing water in rice fields. Monitor for Stem Borer infestation.,Apply Cartap Hydrochloride 4G @ 10kg/acre if dead hearts exceed 5%.,ICAR-CRRI Cuttack
Cotton,Boll Formation,Avoid nitrogenous fertilizer excess. Monitor for pink bollworm larval entry.,Install Pheromone traps @ 5 traps/acre for adult monitoring.,ICAR-CICR Nagpur
Wheat,CRI Stage,First irrigation at Crown Root Initiation (20-25 days after sowing) is crucial.,Apply top dressing of Urea (45kg/acre) after first irrigation.,ICAR-IIWBR Karnal
Maize,Knee-High Stage,Watch out for Fall Armyworm (FAW) whorl damage.,Whorl application of Neem cake or Emamectin Benzoate 5% SG @ 0.4g/L.,ICAR-IIMR Ludhiana
Potato,Tuberization,High relative humidity (>85%) and temperature between 10-20°C favors Late Blight.,Prophylactic spray of Mancozeb 75 WP @ 2g/L.,ICAR-CPRI Shimla
Tomato,Flowering & Fruiting,Stake tomato vines to prevent soil-borne fungal pathogens.,Foliar spray of 1% Potassium Nitrate to boost fruit setting.,ICAR-IIHR Bengaluru
Rice,Tillering Stage,Maintain 2-5cm standing water in rice fields. Monitor for Stem Borer infestation.,Apply Cartap Hydrochloride 4G @ 10kg/acre if dead hearts exceed 5%.,ICAR-CRRI Cuttack
Cotton,Boll Formation,Avoid nitrogenous fertilizer excess. Monitor for pink bollworm larval entry.,Install Pheromone traps @ 5 traps/acre for adult monitoring.,ICAR-CICR Nagpur
Wheat,CRI Stage,First irrigation at Crown Root Initiation (20-25 days after sowing) is crucial.,Apply top dressing of Urea (45kg/acre) after first irrigation.,ICAR-IIWBR Karnal
Maize,Knee-High Stage,Watch out for Fall Armyworm (FAW) whorl damage.,Whorl application of Neem cake or Emamectin Benzoate 5% SG @ 0.4g/L.,ICAR-IIMR Ludhiana
Potato,Tuberization,High relative humidity (>85%) and temperature between 10-20°C favors Late Blight.,Prophylactic spray of Mancozeb 75 WP @ 2g/L.,ICAR-CPRI Shimla
Tomato,Flowering & Fruiting,Stake tomato vines to prevent soil-borne fungal pathogens.,Foliar spray of 1% Potassium Nitrate to boost fruit setting.,ICAR-IIHR Bengaluru
